uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_training,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
0ab1946f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 10:16:19.615862,50,50,50,,1000,funcs,[1.093018],[-4.093018],0.01,dngo,50,200,0ab1946f--g-funcs-s-1-m-dngo-nnt-retrain-reset-init-50-k-200-f-goldsteinprice,median,retrain-reset,0,1,200,goldsteinprice,1,0.0
0b45d0be,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:07:06.831128,50,50,50,,1000,funcs,[3.04464664],[3.04464664],0.01,dngo,50,200,0b45d0be--g-funcs-s-4-m-dngo-l2-0.0001-nnt-fixed-init-50-k-200-f-hartmann6,median,fixed,0,1,80,hartmann6,4,0.0001
0cb332b8,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:54.230276,50,50,50,,1000,epoch,[1.40363173e-07],[-0.04292648],0.01,dngo,20,200,0cb332b8--g-epoch-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-e-1000-f-sinone,median,fixed,0,1,200,sinone,1,0.0001
0d33fdf4,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:54.126195,50,50,50,,100,epoch,[0.02514622],[-0.42303357],0.01,dngo,20,200,0d33fdf4--g-epoch-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-e-100-f-branin,median,fixed,0,1,200,branin,1,0.0001
0e4cf1d7,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:40:46.858549,50,50,50,,1000,funcs,[0.00929509],[-0.00929509],0.01,gp,50,200,0e4cf1d7--g-funcs-s-1-m-gp-init-50-k-200-f-rosenbrock,median,fixed,0,1,130,rosenbrock,1,0.0
0e941eb1,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 13:31:37.093852,50,50,50,,1000,l2,[0.05306848],[-0.45095584],0.01,dngo,20,200,0e941eb1--g-l2-s-1-m-dngo-nnt-fixed-init-20-k-200-l2-0.0-f-branin,median,fixed,0,1,200,branin,1,0.0
0fcf1d52,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:51:20.060121,50,50,50,,1000,funcs,[0.80340626],[-3.80340626],0.01,dngo,50,200,0fcf1d52--g-funcs-s-1-m-dngo-nn-10-agg-average-init-50-k-200-f-goldsteinprice,average,fixed,0,10,130,goldsteinprice,1,0.0
1156972e,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 13:35:07.545413,50,50,50,,1000,funcs,[0.01072319],[3.31164482],0.01,gp,50,200,1156972e--g-funcs-s-1-m-gp-init-50-k-200-f-hartmann6,median,fixed,0,1,180,hartmann6,1,0.0
116289ad,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:37:44.877578,50,50,50,,1000,funcs,[9.92240035e-07],[-0.04292733],0.01,dngo,50,200,116289ad--g-funcs-s-1-m-dngo-nnt-retrain-nn-10-agg-average-init-50-k-200-f-sinone,average,retrain,0,10,150,sinone,1,0.0
131ca0b6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:41:14.329905,50,50,50,,1000,funcs,[7.79613494e-08],[6.02073992],0.01,dngo,50,200,131ca0b6--g-funcs-s-1-m-dngo-init-50-k-200-f-forrester,median,fixed,0,1,200,forrester,1,0.0
14ca1293,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:31:08.508307,50,50,50,,1000,funcs,[-0.41493247],[-0.41493247],0.01,dngo,50,200,14ca1293--g-funcs-s-4-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-max-init-50-k-200-f-branin,max,fixed,0,10,200,branin,4,0.0001
