uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_fixed,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
f155e74d,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.224003,50,50,50,,1000,funcs2,[0.00330156],[-0.40118891],0.01,dngo,20,200,f155e74d--g-funcs2-s-1-m-dngo-init-20-k-200-f-branin,median,True,0,1,180,branin,1,0.0
f1655a64,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.549918,50,50,50,,1000,ensemble,[0.04706535],[-0.44495271],0.01,dngo,20,200,f1655a64--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-15-agg-max,max,True,0,15,200,branin,1,0.0
f23e85f5,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:03:13.376113,50,50,50,,1000,epoch,[0.00025821],[3.86252132],0.01,dngo,20,200,f23e85f5--g-epoch-s-1-m-dngo-init-20-k-200-e-1000-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0
f241bbc0,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:44.969215,50,50,50,,1000,funcs,[0.00220783],[-0.0040505],0.01,dngo,30,200,f241bbc0--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-sintwo,average,True,0,10,200,sintwo,1,0.0001
f4ded8d4,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.370690,50,50,50,,100,epoch,[1.44861795e-07],[-0.04292649],0.01,dngo,20,200,f4ded8d4--g-epoch-s-1-m-dngo-init-20-k-200-e-100-f-sinone,median,True,0,1,200,sinone,1,0.0
f56b7c70,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.393375,50,50,50,,1000,funcs,[0.71999137],[-3.71999137],0.01,dngo,30,200,f56b7c70--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-goldsteinprice,median,True,0,1,200,goldsteinprice,1,0.0001
f75b7d4c,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.026511,50,50,50,,1000,l2,[6.71953654e-09],[-0.04292635],0.01,dngo,20,200,f75b7d4c--g-l2-s-1-m-dngo-init-20-k-200-l2-0.00001-f-sinone,median,True,0,1,200,sinone,1,1e-05
f82b3260,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.692882,50,50,50,,1000,funcs2,[0.00483783],[-0.0066805],0.01,gp,20,200,f82b3260--g-funcs2-s-1-m-gp-init-20-k-200-f-sintwo,median,True,0,1,90,sintwo,1,0.0
f935be8a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.295993,50,50,50,,1000,funcs2,[0.27569372],[3.04667429],0.01,gp,20,200,f935be8a--g-funcs2-s-1-m-gp-init-20-k-200-f-hartmann6,median,True,0,1,30,hartmann6,1,0.0
fc23a341,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.709276,50,50,50,,1000,funcs2,[0.06655646],[-0.46444382],0.01,dngo,20,200,fc23a341--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-branin,average,True,0,10,30,branin,1,0.0
fc4698c0,UCB,"['relu', 'relu', 'relu']",1000,2018-08-23 11:59:58.017881,50,50,50,,1000,activation,[0.02005735],[-0.4179447],0.01,dngo,20,200,fc4698c0--g-activation-s-1-m-dngo-init-20-k-200-la-relu-relu-relu-f-branin,median,True,0,1,200,branin,1,0.0
fe2675a5,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.576316,50,50,50,,1000,funcs2,[4.27622935],[-4.27622935],0.01,dngo,20,200,fe2675a5--g-funcs2-s-1-m-dngo-init-20-k-200-f-bohachevsky,median,True,0,1,200,bohachevsky,1,0.0
fea6557a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.004906,50,50,50,,1000,ensemble,[4.21745208e-07],[-0.39788778],0.01,gp,20,200,fea6557a--g-ensemble-s-1-m-gp-init-20-k-200-f-branin,median,True,0,1,200,branin,1,0.0
